ID,Name,Blurb,Goal,Slug,Country,Pledged,Backers_count,Currency,Deadline,Created_at,Launched_at,Staff_pick,Category_id,Category_name,Location_id,Location_name,Location_country,Location_state,fx_rate,Percent_funded
1974295126,Hellboy: The Roleplaying Game,"A brand-new Hellboy roleplaying experience, based on the visionary Hellboy graphic novels by Mike Mignola and powered by 5th Edition.",30000,hellboy-the-next-chapter,GB,256805.45,4247,GBP,1599505200,1591020600,1597834801,TRUE,34,Tabletop Games,30720,Nottingham,GB,England,1.33559137,856.0181667
100245492,The Umbrella Academy Game,Umbrella Academy Card Game Based on the Acclaimed Comic Book Series by Gerard Way and Gabriel Bá,30000,the-umbrella-academy-game,US,297797,4003,USD,1599278400,1594180645,1595952042,TRUE,34,Tabletop Games,2442047,Los Angeles,US,CA,1,992.6566667
1558255285,Uprising | Curse of the Last Emperor,A fully cooperative 4X fantasy board game for 1-4 players set in a post-apocalyptic world.,40000,uprising-curse-of-the-last-emperor,US,241727,2460,USD,1599771600,1582924755,1597762643,TRUE,34,Tabletop Games,638242,Berlin,DE,Berlin,1,604.3175
775354956,The Girl from Arkanya | A pixel art treasure hunting RPG,"A top-down, 2D action RPG following the journey of an ambitious young treasure hunter and her capybara companion.",10000,the-girl-from-arkanya,US,35453,1094,USD,1599155969,1581457039,1596563969,TRUE,35,Video Games,2470851,Peru,US,IN,1,354.53
1711843516,Dungeons & Lasers Second Edition,"Plastic tabletop terrain with a grid. And 6"" tall Dragons.",20000,dungeons-and-lasers-second-edition,US,490998,3616,USD,1599598800,1590992888,1598364018,TRUE,34,Tabletop Games,512430,Piła,PL,Swietokrzyskie,1,2454.99
952212348,Lost Ruins,A side-scrolling action survival game where you take on the role of a young girl fighting hideous monstrosities.,1058706,lost-ruins,JP,4402932,1261,JPY,1599052143,1590989341,1596460143,TRUE,35,Video Games,1132599,Seoul,KR,Seoul,0.00947795,415.8786292
36247606,Northgard: Uncharted Lands 🛡️,A streamlined 4X board game based on Norse Mythology,40000,northgard-uncharted-lands,FR,455165.27,7239,EUR,1598986800,1589301234,1595505680,TRUE,34,Tabletop Games,615702,Paris,FR,Ile-de-France,1.19112989,1137.913175
268405777,Cafe Chaos : The Odd 1s Out,An Odd 1s Out Food Fight Card game,10000,cafe-chaos-the-odd-1s-out,US,572863,5882,USD,1599768000,1592431809,1596900724,TRUE,34,Tabletop Games,2442047,Los Angeles,US,CA,1,5728.63
391125834,Glen More II: Highland Games,"Expanding Matthias Cramer's Glen More II with an Automa Solo Mode + 3 new Chronicles by Rüdiger Dorn, Jonny Pac & Funtails Development!",30000,glen-more-ii-highland-games,DE,149425,3397,EUR,1599238800,1590416006,1597251415,TRUE,34,Tabletop Games,667931,Cologne,DE,North Rhine-Westphalia,1.19112989,498.0833333
1495997252,The Hieronymus Bosch Tarot,A 78-card Tarot deck illustrated by Hieronymus Bosch.,7500,the-hieronymus-bosch-tarot,US,38238,410,USD,1601139591,1595892589,1598547591,TRUE,273,Playing Cards,2442047,Los Angeles,US,CA,1,509.84
972050787,Adventure Journal,The Adventure Journal is an excellent tool for keeping track of your Dungeons & Dragons characters and chronicling their epic journeys!,12000,adventure-journal,US,39469,634,USD,1600477200,1597348592,1598364312,TRUE,34,Tabletop Games,2475687,Portland,US,OR,1,328.9083333
144359191,Wanderhome,A pastoral fantasy tabletop RPG about traveling animal-folk and the way they change with the seasons.,18000,wanderhome,US,247889.96,5306,USD,1599135910,1592430964,1596543910,TRUE,34,Tabletop Games,2489223,Saugerties,US,NY,1,1377.166444
1440385305,Twilight: 2000 – Roleplaying in the WWIII That Never Was,"A classic tabletop RPG returns in a new retro-apocalyptic edition, from the makers of the ALIEN RPG and Forbidden Lands.",100000,twilight-2000-roleplaying-in-the-wwiii-that-never-was,SE,4333841.71,6347,SEK,1599159600,1595937802,1597237225,TRUE,34,Tabletop Games,906057,Stockholm,SE,Stockholm,0.11601079,4333.84171
